EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
127,3,20,0.0001545894
127,3,41,0.03451179
127,3,45,0.005274914
128,1,22,0.08660508
128,2,7,0.0001891398
128,3,15,0.0003369485
128,3,20,0.0001545894
128,3,41,0.03451179
128,3,45,0.005274914
129,1,22,0.08660508
129,2,7,0.0001891398
129,3,15,0.0003369485
129,3,20,0.0001545894
129,3,41,0.03451179
129,3,45,0.005274914
130,1,22,0.08660508
130,2,7,0.0001891398
130,3,15,0.0003369485
130,3,20,0.0001545894
130,3,41,0.03451179
130,3,45,0.005274914
131,1,22,0.08660508
131,2,7,0.0001891398
131,3,15,0.0003369485
131,3,20,0.0001545894
131,3,41,0.03451179
131,3,45,0.005274914
132,1,22,0.08660508
132,2,7,0.0001891398
132,3,15,0.0003369485
132,3,20,0.0001545894
132,3,41,0.03451179
132,3,45,0.005274914
133,1,22,0.08660508
133,2,7,0.0001891398
133,3,15,0.0003369485
133,3,20,0.0001545894
133,3,41,0.03451179
133,3,45,0.005274914
134,1,22,0.08660508
134,2,7,0.0001891398
134,3,15,0.0003369485
134,3,20,0.0001545894
134,3,41,0.03451179
134,3,45,0.005274914
135,1,22,0.08660508
135,2,7,0.0001891398
135,3,15,0.0003369485
135,3,20,0.0001545894
135,3,41,0.03451179
135,3,45,0.005274914
136,1,22,0.08660508
136,2,7,0.0001891398
136,3,15,0.0003369485
136,3,20,0.0001545894
136,3,41,0.03451179
136,3,45,0.005274914
137,1,22,0.08660508
137,2,7,0.0001891398
137,3,15,0.0003369485
137,3,20,0.0001545894
137,3,41,0.03451179
137,3,45,0.005274914
138,1,22,0.08660508
138,2,7,0.0001891398
138,3,15,0.0003369485
138,3,20,0.0001545894
138,3,41,0.03451179
138,3,45,0.005274914
139,1,22,0.08660508
139,2,7,0.0001891398
139,3,15,0.0003369485
139,3,20,0.0001545894
139,3,41,0.03451179
139,3,45,0.005274914
140,1,22,0.08660508
140,2,7,0.0001891398
140,3,15,0.0003369485
140,3,20,0.0001545894
140,3,41,0.03451179
140,3,45,0.005274914
141,1,22,0.08660508
141,2,7,0.0001891398
141,3,15,0.0003369485
141,3,20,0.0001545894
141,3,41,0.03451179
141,3,45,0.005274914
142,1,22,0.08660508
142,2,7,0.0001891398
142,3,15,0.0003369485
142,3,20,0.0001545894
142,3,41,0.03451179
142,3,45,0.005274914
143,1,22,0.08660508
143,2,7,0.0001891398
143,3,15,0.0003369485
143,3,20,0.0001545894
143,3,41,0.03451179
143,3,45,0.005274914
144,1,22,0.08660508
144,2,7,0.0001891398
144,3,15,0.0003369485
144,3,20,0.0001545894
144,3,41,0.03451179
144,3,45,0.005274914
145,1,22,0.08660508
145,2,7,0.0001891398
145,3,15,0.0003369485
145,3,20,0.0001545894
145,3,41,0.03451179
145,3,45,0.005274914
146,1,22,0.08660508
146,2,7,0.0001891398
146,3,15,0.0003369485
146,3,20,0.0001545894
146,3,41,0.03451179
146,3,45,0.005274914
147,1,22,0.08660508
147,2,7,0.0001891398
147,3,15,0.0003369485
147,3,20,0.0001545894
147,3,41,0.03451179
147,3,45,0.005274914
148,1,22,0.08660508
148,2,7,0.0001891398
148,3,15,0.0003369485
148,3,20,0.0001545894
148,3,41,0.03451179
148,3,45,0.005274914
149,1,22,0.08660508
149,2,7,0.0001891398
149,3,15,0.0003369485
